Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
68,16.669230399735326,3.977125555505918,Italian,14.187038821421334,1,66,
51,45.14516461493753,1.292333596881723,Italian,15.143859438422101,0,96,
69,29.816945056158627,0.8526641857406547,Italian,32.95402391900107,1,0,
89,39.65843644556182,7.428171353002815,Japanese,12.436077323979733,0,50,
24,32.92603397029555,5.317022733,Japanese,11.237235255742641,1,4,
71,49.90770463695373,12.92180246925016,American,38.57656405881991,0,12,
71,40.096124801552904,9.986676699572365,Japanese,24.46588379364178,0,18,
56,38.279218449738366,5.320385560107614,Mexican,15.015013969354932,1,11,
71,41.142877562030044,2.9847555590035224,American,20.144510834388328,1,47,
60,15.725119421938786,2.543995253748992,Japanese,35.683460294095966,1,24,
64,18.18178372677853,17.293207842808354,Italian,21.02146268563405,1,56,
73,38.56256328894457,4.869559368097345,Mexican,29.780845004816317,1,34,
12,29.759259485234505,13.034212958219367,Italian,14.867812269066892,0,75,
60,40.18541167440466,16.213718559725326,American,33.52374550421788,1,93,
16,14.11664123,12.281626223694722,Italian,22.643107353730564,0,4,
30,31.459254059383788,17.191304632938916,Japanese,35.07873738114866,0,97,
82,25.15286262227663,7.847874431,Japanese,42.33579529216092,0,21,
48,28.280008771267134,19.124443812978967,American,34.46585678,0,76,
27,34.15831488,2.6629000835619387,Italian,21.829902503800827,0,56,
13,30.091533898501204,2.042990593150762,American,20.229748061932014,1,46,
98,31.59442548451347,13.173842924148872,Italian,23.096838349337922,1,53,
69,29.454299279824312,18.856622828265234,Mexican,16.584820529460195,0,2,
23,26.358207083419728,16.17766923272656,Japanese,17.246874034000804,0,52,
18,40.87527922,1.5283371887610286,American,41.62764407600672,1,83,
99,10.48812289272178,5.5873542786943275,Mexican,25.38930306,1,30,
62,33.93770804820908,18.606377696756475,Mexican,27.439807222823433,0,68,
11,32.62033389291895,5.061168656015691,American,33.761978622672444,1,87,
93,38.64716298931809,15.623408475738385,American,33.58613980606191,1,32,
69,33.961174591093055,16.502643918574076,Mexican,12.695074860877028,1,71,
80,43.07195311236313,9.909042069219636,Italian,43.261631453506624,0,87,
53,48.36299178256111,7.726978197,Mexican,17.093062128957577,1,49,
17,23.700970287141736,9.002488648395193,American,38.92286544198676,0,83,
56,19.09403932119948,4.539293887307283,Mexican,40.906839525126664,0,15,
44,26.943874496819316,17.787818322576886,Italian,38.59598136365255,0,75,
87,21.517184659029045,9.012393134595158,Japanese,33.15910586216581,0,76,
90,34.59801052610618,17.649188809121995,Japanese,10.584359884355315,0,38,
45,46.474096353718586,2.113869598125482,Mexican,24.415019694526826,1,88,
59,15.564647765722475,19.765505420002626,Italian,34.19357717450325,0,45,
13,14.03178412063546,8.865461748872365,Japanese,25.498051836901546,0,95,
11,20.240621274146488,0.9566164078821093,Mexican,44.53919579651252,0,87,
15,39.043823442496034,0.7604369647490983,Mexican,22.352091013984612,1,46,
63,33.71851621035286,14.924145149636772,Italian,21.74139169834642,1,43,
13,14.088506569007983,13.180710684073615,American,20.63990772370632,1,8,
63,46.75002089042986,16.04261116255175,Mexican,23.31123475843182,1,86,
72,41.60338548496347,2.107350679056119,American,32.29619857256749,1,49,
27,10.92090419,0.711417341,American,38.28061177090363,1,76,
99,36.05468843952984,10.17158578895157,Japanese,36.50271670955141,1,59,
53,40.84986674078952,7.751904629655391,American,42.30871279925918,0,95,
43,24.97741478881688,9.238938733419115,Italian,45.43655982,0,14,
83,12.756861574688752,19.83176817740548,Japanese,42.64316169373405,1,35,
71,13.09284261955149,19.414999153413405,Japanese,10.757816134974183,0,62,
23,14.16987864207238,18.846307793463858,Japanese,39.43671814207955,0,68,
57,43.61758527921692,15.676853535353477,Mexican,18.335982944733264,1,85,
24,46.427447930228524,7.096827205137808,Mexican,15.317121708319306,0,79,
81,14.912431273829352,8.242618605255432,American,35.53955139196542,0,40,
87,19.43624138380325,10.992320874378489,Japanese,22.789727816307796,1,73,
96,16.62082041469159,16.610689128096798,Japanese,12.28468653481773,0,23,
71,17.452835179764826,1.3742566503653553,Italian,15.505189375934453,1,81,
49,43.49963156009969,8.485937717697762,American,10.037176674798442,1,48,
94,23.285856506197558,1.6523532691853737,Italian,46.12894509378829,0,17,
89,22.457770561825647,10.293151731470232,American,10.984719353649544,0,6,
91,19.095824835084507,17.978016480124708,American,18.37823078038044,0,3,
62,34.315775751770346,15.649698491278759,Mexican,26.650511227516294,1,89,
33,25.172227935421954,4.556848350862199,Mexican,24.262853038032762,1,68,
35,39.76998607373155,19.519816991975848,Italian,46.46903507651103,1,59,
98,18.22319234,13.347007960928568,American,11.611557829381685,0,54,
69,41.51159554857969,0.20855398794806135,Japanese,30.48858830708206,0,15,
50,34.14886126920556,5.108269694,Mexican,37.21917850097496,1,98,
38,14.57069200222751,5.214265998,Japanese,47.267918947246756,0,89,
24,26.580183368145107,1.3850861257171987,Italian,34.814850084948844,0,81,
54,44.54072562451828,19.19653036151858,Mexican,42.150209440470505,1,28,
74,46.918409271939396,9.565105891518474,Mexican,13.348997513813936,1,22,
98,28.62800489275253,17.91629194743764,American,25.437580437477095,0,13,
80,29.233479123562944,6.444310068892567,Italian,24.957885379162697,1,78,
18,46.738188997572045,2.5046714086565425,American,45.45152866,0,48,
97,33.48272896546269,9.486722198124278,Mexican,16.054846850530996,1,32,
10,11.313866809737533,2.2791326942863432,Italian,16.075446893465212,1,24,
17,46.50997851516515,9.720310059550798,Mexican,23.14232599543194,1,20,
97,19.929057710286074,18.405943624388154,Italian,12.178641894673504,0,16,
72,33.10527816366189,10.415362836684254,Mexican,17.29832163,0,22,
20,16.620532697118954,12.329994537901669,Japanese,48.608385541829406,1,56,
90,11.355166409863799,3.132768739476166,Japanese,27.127357594686913,1,80,
17,22.458926845310295,0.8747125175993897,American,35.28076833689745,1,57,
44,41.219828301843506,2.216159243596141,Japanese,39.04445037378548,0,13,
44,21.103486905176723,11.970631513687312,Mexican,24.678456280288017,1,92,
42,18.80388856324388,1.9002339798460932,Mexican,15.889082976420678,1,19,
14,18.507231373649052,7.519857798826228,Japanese,18.263240648871232,1,29,
50,30.606947296272505,11.00183880916312,American,22.530659063224412,1,18,
37,49.02165262731025,7.773055972596941,Japanese,35.44273681408903,0,52,
16,28.35955952068052,3.2736760293060296,Italian,25.931221963562177,0,55,
82,32.29221475560192,5.47582615,Italian,10.272587916005126,1,76,
81,44.425280715629356,18.56635065697154,Italian,30.936287402698873,0,81,
21,31.402788757346343,13.519645511727107,Japanese,46.86053567629671,0,22,
43,17.378514856754244,9.920956774,Japanese,42.48310444034716,0,61,
42,21.98383647065908,0.25429779973787037,Japanese,43.00845485038524,1,32,
57,22.397477050744435,19.848308009789402,Italian,41.80232070424525,0,17,
32,25.892724618303916,13.429098697892865,American,22.949233024416948,0,72,
71,27.071556213469975,6.338449546898898,Mexican,40.60775335017568,0,32,
97,41.99128088297078,17.585373199956763,Japanese,15.72645431244772,1,31,
46,23.97547996197332,5.168632405836362,American,36.30864589103814,1,60,
53,28.729273137655174,10.880331583655032,Mexican,35.662742667399776,0,53,
95,34.99903948204209,12.721415274596502,Mexican,11.022791963589388,0,16,
44,25.109037897606772,4.421267429074569,Mexican,41.51880534363727,1,18,
74,43.46259253169332,19.56794557601192,American,46.129924203805224,1,90,
56,33.49814416936297,14.96383811957995,American,20.696611138884307,0,69,
87,21.76178716883886,11.156264510221398,Italian,42.49562896744604,0,98,
12,38.56236799159313,3.6118919635060176,American,13.296238874477929,1,33,
10,31.105909205791434,1.0771641399605225,American,33.99871433044264,1,83,
14,31.378235650289877,6.401196650419669,American,29.425874613371086,0,24,
99,29.243517935503437,15.063746718268057,Mexican,31.83694133,1,67,
23,29.880477952849958,5.386625966040501,Japanese,47.04820808,0,73,
36,40.61425124264963,10.791124409910102,Italian,44.85260988987414,0,73,
18,14.11925917325262,14.558943534614864,Japanese,41.40334628959028,0,87,
88,23.37451245241929,2.158874292929287,Japanese,20.94793830713484,1,84,
24,13.020134552155568,13.705960322317468,American,46.47274514744367,0,10,
99,40.12984882989804,1.837417754200894,Italian,13.900307698555011,0,90,
51,20.89207418881198,19.302594842539932,Japanese,44.13316866235151,1,15,
86,45.89721639275537,9.767882601298792,Japanese,23.126402894144313,1,89,
60,31.06313866637175,3.0135221541975477,Italian,12.150892466479334,0,60,
72,42.029990859444844,6.847672721,American,36.77427936962993,0,93,
61,49.157257424638445,8.268328985905228,Japanese,19.251197132638218,1,79,
13,43.59155437826282,15.163700221530746,Mexican,19.742845034585276,1,6,
32,44.67975040046094,14.868475721532185,Japanese,22.24188664915086,1,15,
24,26.319379814593788,12.23881010674662,Mexican,12.547390700100669,0,98,
52,32.06890381037359,2.118614251169859,American,17.08508576793016,0,15,
38,20.155542561732172,3.0313874317534717,Japanese,10.205585103422411,0,39,
45,17.844523987738114,1.8751384129111326,Italian,27.81638084423147,1,11,
22,30.220315164241352,11.54345567,Italian,13.370215096718852,0,34,
41,33.80195918801682,17.54276883022808,Japanese,37.30610420176796,1,20,
80,23.57084983584764,8.676010245095435,American,19.424914047665936,0,49,
68,32.777740710540016,3.216963479154924,American,47.742965761407085,1,42,
95,45.49841930054012,11.16084650297934,Italian,44.85006509594611,0,99,
37,32.26886339133465,16.235044337314196,Japanese,21.57763579872833,0,16,
75,38.832523852420266,14.83424123,American,41.32861818626715,1,31,
51,42.212598694316206,17.629015593500426,Italian,42.12979618659225,1,40,
54,49.549151278217714,5.558041944977356,Mexican,49.46252456457642,0,5,
71,34.12789608707918,3.879077345355497,Japanese,33.91359947,1,87,
66,42.27400595850344,17.596329718838774,Mexican,13.278629385746488,1,26,
15,48.505972742194984,13.151206255560462,Mexican,35.87348915705524,0,19,
37,47.776389023090935,6.218578600151083,American,34.99918993504141,1,24,
37,15.643273951108544,14.846961011450183,American,35.53402309681727,0,65,
53,26.25569233094088,16.302367689607358,American,22.28582592416846,0,8,
93,22.959602444271987,12.299564806822648,Japanese,44.387183403213314,1,91,
39,13.477000598013973,13.757682197598303,Mexican,48.37888731821648,1,52,
71,35.329630996438425,7.5051980888533265,Japanese,18.708500519126062,0,60,
84,39.43618452784009,10.773913346860782,American,13.526086325465778,0,37,
98,43.92512381867534,10.483183414523245,Mexican,17.781401326739363,0,2,
71,14.911075586508339,16.96095582261544,Japanese,42.82208557022875,0,83,
10,45.05776303501175,16.79927960564365,Japanese,37.06578539,0,69,
36,35.71702254457013,16.653609386940865,Italian,35.44189369356506,0,96,
71,38.15784540554038,0.22063228524931588,Japanese,26.07172540437698,1,54,
86,46.42496014161216,14.990909689377766,American,33.11311886045743,1,0,
12,34.990450841730045,15.173527802220097,Japanese,22.314965010974696,1,69,
79,23.434634285993404,13.567576457102836,Mexican,29.088003176718452,0,44,
81,43.004293256906394,15.125293157829052,Japanese,41.72252113482624,1,97,
36,24.52236848780362,16.839407429934173,Italian,49.249663898218486,0,46,
18,11.369124432821165,9.406381082035713,Mexican,47.29955694359207,0,78,
71,43.22618026260999,10.041004269768942,Mexican,47.354637713849954,1,25,
46,23.807685795251025,2.4942811382278096,Italian,26.088949393884494,0,13,
60,40.95338092805361,7.707517660947236,American,28.75159522027164,0,53,
53,24.51031578663782,12.867303598235686,Mexican,38.22541585475926,0,70,
33,44.442720798988866,15.60799552294549,American,46.88767712205137,0,45,
88,18.78042100323835,4.3441819538242115,Mexican,15.679770374083386,0,30,
68,48.981890607954796,2.756457983184708,Mexican,22.16967455308783,0,87,
41,41.19035099152123,13.260840090009845,American,15.56987378376438,1,58,
97,14.569517036815874,0.03759767,Mexican,34.48034119837821,0,94,
61,32.63106479866242,3.5674516861465966,American,22.252039875501502,0,28,
71,49.414692489669385,0.5814276068790747,Italian,23.044314100502937,0,95,
67,28.842618107752575,3.3377023570974185,American,12.836638379519169,0,16,
61,17.28428555286333,3.6263855985101046,Italian,23.991842472303677,1,13,
21,29.391134686013846,7.753471895007884,Mexican,44.49986029606342,1,35,
48,30.498306235276864,8.046542493731119,American,19.322912475633398,0,57,
11,39.66747776914662,17.485249412204755,Mexican,37.80749864840263,0,23,
12,37.95383412643618,10.202194249976504,American,35.185133797543706,0,62,
65,26.10200174387922,14.468095312245726,Italian,44.53938433476461,1,90,
90,18.72092429976346,2.082747158405749,Italian,15.29151790604153,1,24,
68,35.80216671077318,4.508775109273877,American,49.10359841380173,1,58,
11,26.868157382131272,14.058868819573537,Italian,33.305145841614625,1,31,
11,15.291048445013216,1.0560792093705618,Mexican,49.818966093872575,0,81,
63,46.02289204945543,9.731953244875061,Mexican,46.46058903463403,1,17,
96,37.648874304386176,11.987379313258677,Japanese,18.86069088452423,1,36,
10,37.32735425781925,12.04291288104962,Italian,12.246480396132524,0,25,
28,42.903355036466955,0.4586562253608406,Mexican,20.225563751814462,0,8,
11,31.186467146203242,6.442160085,American,31.102545959976794,1,98,
62,42.602177136098284,12.72981302098308,Italian,16.86385468,1,63,
53,29.92363014044023,2.979994722984869,Mexican,16.69838978071954,1,71,
99,12.687015996628404,13.908312966561065,Italian,28.503741884206125,1,19,
41,26.209923521107548,14.91850417627349,American,11.330718846774337,0,53,
79,29.898595759195622,19.639383808922904,Mexican,14.87552330129082,0,85,
41,38.808103265291834,4.196839897128188,Japanese,26.634453576317902,1,82,
77,14.263149205146973,16.502613353322303,Japanese,12.525196368318658,1,29,
64,15.60074154641796,10.405931538373082,Italian,25.870202258221173,1,52,
84,20.547352105384658,7.469251922883469,American,28.960250637937804,1,91,
65,20.659935734835287,2.447535146503559,Mexican,28.050664562924577,1,98,
26,39.28738313836249,14.710112129750751,American,44.76699429612349,0,62,
47,20.02922642246391,4.717151982873742,Mexican,31.202498202069297,0,10,
33,35.32392253429791,7.4284400374609145,Italian,28.719218499121734,0,30,
78,29.770954005530857,1.2508445379473687,Mexican,26.42836981566665,1,48,
79,32.931775127176024,16.02733831639038,American,42.70493513217944,1,99,
95,43.524278527131834,15.331770479432867,American,45.80226415999333,0,93,
20,26.175260061960973,14.67231660084625,Italian,44.129698767884705,0,86,
25,40.83645508257082,5.988870209837733,American,36.94186312525564,1,18,
82,26.881442382027494,3.469601485319145,Mexican,15.49446983874697,0,11,
68,24.15485506244998,12.751065289404595,Italian,21.074798779680492,1,14,
79,48.34508709252882,9.923327682,Mexican,11.842522547279097,1,30,
89,17.37483682715853,3.5650493380928316,American,47.23296299960457,0,42,
12,13.613478423104315,13.718225420997275,Italian,36.43194118763641,0,36,
29,40.839437021419144,19.822528636426075,Mexican,39.85451537252966,0,78,
68,12.729988214163663,14.944391754840753,American,22.46286958328916,1,28,
45,43.48315962812117,14.799727733712235,American,43.826140891093694,1,25,
28,27.487735854289742,19.006255058611835,Japanese,20.38413134833914,0,1,
99,46.62054709167656,4.058727351498044,American,10.065750284497987,1,83,
76,38.86131444487623,11.310999298428808,Mexican,25.056598500827757,1,14,
28,34.416186680318305,19.59293430067767,Italian,32.830459238362934,1,3,
29,47.97227188231063,3.305882219403491,Japanese,29.148194318620902,0,85,
80,25.86597492208217,14.00503918889042,American,44.48304570306388,1,49,
61,48.16347746158532,11.71620291943804,American,14.216211438246678,0,37,
42,15.400051096848276,11.72958184377414,American,32.152937625349026,0,22,
49,29.35019767729651,13.953412550401502,Mexican,30.519173992836297,1,58,
48,20.796448895687796,18.592338457513684,Japanese,21.25571928688652,0,89,
91,31.593711156327736,15.65163879702676,Mexican,42.889124503080424,1,74,
10,16.480555115663385,1.122722068,Japanese,40.11394623528825,0,27,
20,43.66118641240173,17.054560397514223,Italian,39.31436749327324,0,65,
66,43.85631397258229,4.510826598514653,Mexican,45.04769913078224,1,7,
98,48.20945250893916,7.538283294727439,Mexican,38.91138402486085,0,28,
59,16.18688563532945,9.234656272247644,Italian,19.273651668589057,0,10,
32,34.93330203619963,9.618120015061393,Japanese,38.222508465987644,0,17,
40,28.969492348014786,8.703607985107135,American,22.308112535593754,1,54,
51,23.77534928176933,18.747065884317287,Italian,19.68698601389882,1,49,
16,24.061606445368753,14.120380153280491,American,12.920143715985093,0,13,
25,26.51174202427009,12.623412919134127,American,39.76114321390707,0,73,
99,38.197021987558124,0.9968405556588311,Italian,38.440038477992445,0,98,
69,33.931442330726185,18.078266605207492,Japanese,19.37997910696375,1,8,
11,28.387260510445245,18.187803840167923,American,39.97516066896624,1,98,
10,13.037336414784884,15.604261268602047,Italian,46.713635323742125,0,10,
57,13.110613763158284,0.14058407627238312,Mexican,14.321158299663171,1,62,
21,10.09357562503113,1.1456050215524671,Mexican,19.305465535470997,1,75,
78,48.707975528283455,4.504474045369795,Mexican,40.01043176349262,1,66,
46,10.210152742335396,2.626988162898134,Italian,20.98026694028313,1,52,
41,14.123749840549795,7.976720594074589,Mexican,34.98655897134867,0,38,
18,22.583862272376436,18.452461161755792,American,13.24656897854858,1,77,
28,42.297210072670445,9.441208683939966,Mexican,28.08809916414155,1,55,
57,48.48395143056471,0.2680525286433122,Mexican,39.563656879718124,0,27,
89,41.60054235167424,5.654913792,American,37.46055772,0,74,
12,37.62240929782563,0.8918981674592308,Mexican,42.602884027032275,1,38,
29,30.852026696542776,0.7257524522700431,American,45.09808506412676,1,24,
33,13.468208474487344,5.514397061911045,Mexican,40.92734005035033,0,20,
63,48.326831720157216,5.512246773578909,American,36.86350971755704,0,9,
42,40.33569655782726,15.74253205203208,Mexican,11.268899672641247,0,42,
33,35.55797541337047,19.496693055622238,American,31.39866693637776,1,14,
84,40.361433821553995,7.424141877799966,Italian,11.50790899659411,1,82,
81,38.96413317092554,8.577737577220772,American,42.322712684640905,0,47,
45,35.489263191579475,16.89578872572043,Mexican,22.828980978398302,1,85,
47,49.22307200719953,5.362780401910268,Mexican,32.497174964716834,0,20,
93,46.13455251,3.127636088068959,Japanese,21.177812292756105,1,59,
98,35.866596764686534,17.06179246807301,American,41.300005775211744,0,95,
34,37.72700845827699,0.9300117288013099,Italian,45.46010107,0,49,
27,12.063832266348399,12.393988803988314,American,25.94569976852256,1,22,
91,36.79669858200157,11.239856949336136,American,44.51689574043956,1,12,
75,11.766617508404007,6.918408950033886,Italian,20.683000298253297,1,68,
63,33.53055027879724,6.303790422,American,31.386436923020952,1,3,
44,49.974139982633396,15.437154523632426,Italian,44.35045719354816,1,91,
89,32.23226325748719,1.7284922152509297,Italian,23.035253704631614,1,77,
70,28.928404723253337,4.735686186227708,American,48.16169060312343,0,71,
50,22.51419426,14.648974636761796,American,14.875180071255345,1,8,
42,14.820903151458577,10.966411674528484,Mexican,10.731002788940248,0,34,
77,39.24094685833126,2.559764170671728,Mexican,46.165414103127624,0,20,
42,17.703961111425215,17.642712285641203,Japanese,12.74594664591489,1,57,
23,14.611280849891376,7.868956931271831,Japanese,49.67556783789967,0,17,
30,26.870506389220502,16.557367506443455,American,48.055874479164245,0,96,
57,41.81367352,15.754260310554173,Italian,15.480836401452827,1,71,
29,39.80258192480882,12.48850892943456,Japanese,31.503385027702635,1,80,
17,12.195304585858997,9.889622626,American,17.396811898685772,1,42,
16,28.205747401446246,19.59101680763514,Japanese,27.126206921204794,0,94,
76,30.89738304284676,2.899301447596341,Italian,12.457005170393307,1,97,
26,35.78186602503288,14.503114551022296,American,18.95698351186358,1,5,
42,36.006694017729124,3.823814029,Italian,24.53091185595598,1,85,
57,24.587889978292235,6.765262106646968,American,27.545900009842192,1,77,
85,32.42708776014056,6.173974867463905,Japanese,49.09985032835573,0,66,
68,29.242475353763457,18.94071975477446,Mexican,42.31462582735925,1,11,
95,45.399934260931246,19.347123555765503,Japanese,39.49639777247785,0,99,
31,31.210605305396008,3.660308884694543,Japanese,31.48165258967897,1,11,
39,27.641286469926463,0.4407032059500837,Mexican,43.599910424173736,0,65,
47,26.17941798727403,14.400160793262263,Mexican,23.572913426228443,0,1,
60,32.89711037733863,8.359798677409687,American,38.355964510932644,0,14,
63,42.15907918,1.7768049017512877,American,49.75135901512688,1,22,
17,31.53605962,13.675082111540851,Italian,22.585156357407953,0,28,
36,36.46620700322166,10.902110565213993,Italian,36.9607014,1,80,
36,39.51423068,19.61033644002212,Japanese,43.77259457,1,95,
30,30.806724395149274,4.548189917227578,Mexican,46.632303334026886,1,6,
39,27.072682266194576,8.079557526530966,Italian,38.71730763760407,1,93,
37,45.06661511449798,10.850916067908457,Japanese,21.344316936685452,1,27,
73,26.700243361115685,15.833999769067033,Mexican,23.05128606275786,0,13,
78,28.477714023023502,10.976773134401174,American,10.830321284958568,1,43,
70,49.613652533671086,12.258003217238985,Japanese,40.435439106860386,0,29,
57,10.009500943035384,4.5229410317988155,American,11.709584242478055,0,80,
28,17.418916383068897,16.938374561771198,Italian,44.586094184109825,0,31,
13,25.35855559678903,8.572610939409515,Italian,14.746424578981552,0,69,
44,47.303596377010116,2.8191925504353854,Mexican,16.87506048543697,0,87,
73,12.801188229898841,13.283758290108347,Japanese,29.061058833289493,0,5,
58,10.379417345139924,4.321809064,American,39.515216606749696,0,26,
26,12.107353439089144,1.9512502047859948,Mexican,15.560088207963108,1,81,
53,13.541736424544727,17.239738168085445,Italian,27.602843002659938,0,87,
39,11.503870928250436,9.203245289768793,Italian,29.31405097640419,1,23,
55,29.19125307426019,14.985674253915528,Japanese,18.491425666743652,0,33,
15,33.23028828909311,5.811751196127101,American,14.622335067225269,0,39,
46,20.867478842760164,15.739402698353327,Japanese,43.456836919425584,0,46,
33,25.931495359025423,2.2387185404306065,American,30.09862599051062,0,78,
55,13.667973404457205,7.119467475897054,American,10.575249439366118,1,74,
62,23.45481855313688,19.56123635947057,Japanese,42.11925205236415,1,85,
69,30.900767665380926,15.879794327360122,Mexican,49.231752216583395,1,23,
72,39.29087228738581,9.945118606293764,Japanese,34.23704781656989,0,64,
94,10.133854481719169,6.795549431237702,Japanese,30.14833548336283,0,17,
41,28.69243066,17.44271400044953,Italian,45.13663452179847,0,43,
96,21.880115058195287,10.896955181690313,Italian,48.10067158738394,1,75,
42,44.11287286767605,15.168500357382221,Japanese,40.181476636098424,0,56,
76,38.62213260936968,15.082153606323281,Japanese,27.818117189371513,1,27,
27,33.56434137883579,0.3589135713698366,Italian,33.68885597325762,1,70,
34,21.090625827870944,2.525075655852269,American,38.03741460071997,0,22,
63,46.41356408230137,13.192587327894845,Japanese,17.770942840072056,0,84,
67,11.804027088812926,3.232396225717429,Mexican,27.888041288657522,1,33,
76,14.378703947164606,5.109866893112094,Mexican,43.19285059,1,10,
55,25.66520562161424,18.932759083992142,Mexican,36.18901393993772,1,85,
33,14.977502291874254,11.203645167498237,Japanese,26.448162688474163,0,34,
41,48.2566279,15.014590139986943,American,36.53450136058726,0,92,
56,41.919572885735334,11.159614775652798,American,14.728896482898396,0,41,
95,20.35930606407255,11.050272295654505,Italian,26.059904422595054,0,27,
32,33.542169158929816,1.883038202513958,Japanese,41.72514151852226,0,81,
75,49.29322060320327,6.8732638521820615,American,18.82035148546592,0,77,
36,45.367959125260114,5.648617973730234,Japanese,17.438460302296708,1,81,
11,34.03193785768792,7.814567312272265,Italian,48.03274639665726,1,91,
99,46.14895868701082,15.966883764486566,Italian,18.39590518344923,1,23,
26,49.567396392534356,7.438653358337297,Italian,20.436743186006723,0,7,
42,39.734112915744966,9.033936384633654,Mexican,48.78463755617352,1,52,
18,12.599456379315761,7.94762781,Japanese,39.38834281060103,0,71,
52,26.063209457019497,1.868159439505912,Italian,37.98386132094113,0,3,
57,43.51302941132982,8.821443165015674,Japanese,44.11705535418325,1,90,
48,19.22276783220076,3.9121854608903006,Mexican,14.632923289471771,0,99,
51,43.22570071002498,3.7344659154608295,Mexican,38.23824946320029,1,4,
35,14.813550481399837,1.880722088685327,Italian,30.147544373129556,1,96,
59,11.877814285912521,7.133419482835295,Italian,43.16602561,0,48,
34,25.363624459649984,15.149637695788346,American,30.32566874660777,1,97,
33,11.469277497064546,5.528833811667921,Japanese,34.80965417075649,1,29,
22,48.29081051933302,6.246982037710271,Italian,29.109685055981437,1,71,
69,43.04822783175864,12.853493153448472,American,29.126356942233762,1,62,
16,42.030787485195006,3.9168162517383776,Japanese,40.71879912247326,0,46,
66,35.191116919846124,17.939158608470688,Italian,35.14265602589133,1,25,
45,18.65296092146214,10.40381046503109,American,35.330528064376416,1,56,
54,30.730414667055687,8.952058806,American,28.01129935326103,1,36,
29,33.89096289721364,11.156403838584028,Japanese,31.24437985,0,97,
74,31.001260034410727,3.320686268323909,American,39.82870664819149,1,6,
17,20.409334718061093,12.269462772783527,Japanese,43.03763676447673,0,39,
25,30.609916972589033,7.262014732680209,Japanese,37.86245608576185,1,91,
23,29.647453634745062,17.94372681929238,Japanese,46.96291955382733,1,38,
85,49.85343103226897,3.3770841335537227,Mexican,42.81296352588804,1,61,
96,45.89744592184815,10.141022077308822,American,32.474551592380735,0,91,
24,28.535229928624798,11.962252587380359,Japanese,36.856242905749475,0,77,
75,34.91749531740474,0.6676720357276245,Italian,47.05233107684784,0,52,
41,39.914864163689145,7.273862495122804,Mexican,34.76672176972234,0,3,
96,11.394606409352996,14.652704694016656,Mexican,42.99227791919323,0,81,
72,45.79685765,16.407550148979468,American,37.552420143599484,0,24,
95,44.40507265671695,6.263239896345647,Japanese,32.077454442418656,1,6,
60,28.29728391094829,15.971865447655025,American,19.673527816614126,0,27,
34,25.64679064321519,19.355117542067777,Mexican,27.039900778737124,1,68,
67,20.91837499,17.137478721501882,Japanese,48.709712993348624,0,66,
72,29.067073133214734,2.352879763186504,Italian,36.31061533,0,94,
71,11.77506654132947,14.794606641710812,Japanese,32.575815213559586,0,19,
31,44.08774133388031,6.3933366488108945,Mexican,47.31826502112909,1,82,
67,11.416894736741803,19.76831978824153,Italian,33.46047124149795,0,10,
67,23.16205461479484,9.707179663197742,Japanese,31.043300736696118,0,66,
